"sponsor_name","phase","trial_count","rank_within_phase"
Loma Linda University,PHASE1,1,92
LianBio LLC,PHASE1,1,92
LG Chem,PHASE1,1,92
"Leap Therapeutics, Inc.",PHASE1,1,92
"Leadingtac Pharmaceutical (Shaoxing) Co., Ltd.",PHASE1,1,92
"Kyowa Kirin, Inc.",PHASE1,1,92
"Gustave Roussy, Cancer Campus, Grand Paris",PHASE1,1,92
Kumquat Biosciences Inc.,PHASE1,1,92
"Kite, A Gilead Company",PHASE1,1,92
National Cancer Institute (NCI),PHASE1/PHASE2,11,1
Eli Lilly and Company,PHASE1/PHASE2,7,2
M.D. Anderson Cancer Center,PHASE1/PHASE2,6,3
Bristol-Myers Squibb,PHASE1/PHASE2,6,3
Genmab,PHASE1/PHASE2,5,5
Hoffmann-La Roche,PHASE1/PHASE2,5,5
"Revolution Medicines, Inc.",PHASE1/PHASE2,4,7
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",PHASE1/PHASE2,4,7
Novartis Pharmaceuticals,PHASE1/PHASE2,4,7
Memorial Sloan Kettering Cancer Center,PHASE1/PHASE2,4,7
AstraZeneca,PHASE1/PHASE2,4,7
