"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT03150875,PHASE3,COMPLETED,290,Innovent Biologics (Suzhou) Co. Ltd.
NCT00084981,PHASE1,COMPLETED,25,National Cancer Institute (NCI)
NCT07322783,PHASE2,RECRUITING,60,Qingdao Central Hospital
NCT06618391,PHASE2,NOT_YET_RECRUITING,84,Henan Cancer Hospital
NCT03480230,PHASE2,UNKNOWN,60,Arafat Tfayli
NCT02459002,,COMPLETED,209,M.D. Anderson Cancer Center
NCT06730685,,ENROLLING_BY_INVITATION,160,Zealand University Hospital
NCT00576914,PHASE3,UNKNOWN,1108,Chinese Academy of Sciences
NCT05642195,PHASE1/PHASE2,SUSPENDED,30,National Cancer Institute (NCI)
NCT07609251,PHASE2,NOT_YET_RECRUITING,90,Sinocelltech Ltd.
NCT03042221,,RECRUITING,100,"University of Colorado, Denver"
NCT02839629,,COMPLETED,5657,Bristol-Myers Squibb
NCT01004250,PHASE2,COMPLETED,109,Eli Lilly and Company
NCT04751162,,COMPLETED,71,Hoffmann-La Roche
NCT01776684,NA,UNKNOWN,200,Samsung Medical Center
NCT05297890,PHASE2,ACTIVE_NOT_RECRUITING,70,CStone Pharmaceuticals
NCT01076231,PHASE1/PHASE2,COMPLETED,34,Abramson Cancer Center at Penn Medicine
NCT01457417,PHASE1,COMPLETED,32,"Leap Therapeutics, Inc."
NCT07410494,PHASE1/PHASE2,RECRUITING,85,Essen Biotech
NCT05579366,PHASE1/PHASE2,RECRUITING,884,Genmab
NCT02831491,PHASE2,WITHDRAWN,0,Eli Lilly and Company
NCT03904823,PHASE2,UNKNOWN,58,"Jiangsu HengRui Medicine Co., Ltd."
NCT03317496,PHASE1/PHASE2,TERMINATED,67,Pfizer
NCT04194944,PHASE3,ACTIVE_NOT_RECRUITING,261,Eli Lilly and Company
NCT07140315,PHASE1,RECRUITING,6,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT00293085,PHASE2,COMPLETED,37,Central European Cooperative Oncology Group
NCT03060343,EARLY_PHASE1,UNKNOWN,10,Yu Fenglei
NCT03477474,,TERMINATED,311,"Guardant Health, Inc."
NCT06479005,NA,UNKNOWN,50,Ziekenhuis Oost-Limburg
NCT06641609,PHASE1,NOT_YET_RECRUITING,166,"Betta Pharmaceuticals Co., Ltd."
NCT01473693,,TERMINATED,1,Memorial Sloan Kettering Cancer Center
NCT05348668,PHASE2,COMPLETED,78,Anhui Provincial Hospital
NCT02443324,PHASE1,COMPLETED,175,Eli Lilly and Company
NCT05183932,,ACTIVE_NOT_RECRUITING,446,Washington University School of Medicine
NCT00211952,PHASE3,SUSPENDED,542,Medical University of Gdansk
NCT02577627,,UNKNOWN,5000,Optimata Ltd.
NCT07005102,PHASE2/PHASE3,RECRUITING,854,AbbVie
NCT06434103,PHASE1/PHASE2,WITHDRAWN,0,"Suzhou Suncadia Biopharmaceuticals Co., Ltd."
NCT04844073,PHASE1/PHASE2,TERMINATED,95,Takeda
NCT05650879,PHASE1,ACTIVE_NOT_RECRUITING,198,Enliven Therapeutics
NCT07438600,PHASE2,NOT_YET_RECRUITING,38,Tianjin Medical University Cancer Institute and Hospital
NCT02714608,PHASE2,UNKNOWN,144,"Tasly Pharmaceuticals, Inc."
NCT02879994,PHASE2,COMPLETED,11,Jonsson Comprehensive Cancer Center
NCT02525757,PHASE2,ACTIVE_NOT_RECRUITING,52,M.D. Anderson Cancer Center
NCT00087191,NA,TERMINATED,30,National Cancer Institute (NCI)
NCT01102517,NA,UNKNOWN,500,Sun Yat-sen University
NCT07452003,NA,RECRUITING,30,Peking Union Medical College Hospital
